Employee Id,Education Level,Department,Job Tenure,Technical Skills,Quality_of_Work,Workload,Peer_Feedback,Code_Quality,Project_Completion_Rate,Debugging_Skills,Time_Management,Learning_Growth,Performance
79,PhD,Database,0,"MSSQL, Data Modelling",Good,Low,5,Good,5,Good,Good,Yes,Meets Expectations
80,PhD,Python & ML,2,"Python,ML models, Flask",Good,Medium,4,Good,12,Good,Poor,No,Needs Improvement
81,PhD,Mobile,8,"iOS, Android, React Native, Flutter",Good,Medium,8,Good,80,Good,Excellent,No,Meets Expectations
82,PhD,Frontend,9,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Excellent,High,8,Good,95,Good,Good,Yes,Meets Expectations
83,Bachelor's,Database,3,"SSRS, MSSQL, MySQL,  Data Modelling",Good,Low,2,Good,84,Good,Good,No,Needs Improvement
84,PhD,Mobile,10,"iOS, Android, React Native, Flutter",Excellent,High,8,Good,90,Good,Good,Yes,Meets Expectations
85,PhD,DevOps,8,"Jenkins, Git, Ansible, Security, Automation, Cloud management",Excellent,High,9,Excellent,99,Excellent,Excellent,Yes,Exceeds Expectations
86,Bachelor's,.Net,4,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework",Good,High,7,Good,56,Good,Good,Yes,Meets Expectations
87,Bachelor's,DevOps,3,"Jenkins, Git, Security, Automation, Cloud management",Good,Medium,7,Good,47,Good,Good,Yes,Meets Expectations
88,Bachelor's,.Net,5,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework, MVC",Excellent,High,9,Excellent,90,Excellent,Good,Yes,Exceeds Expectations
89,Master's,Python & ML,5,"Python,ML models, DL models, TensorFlow, MSSQL, Flask",Good,Medium,6,Good,94,Good,Good,Yes,Meets Expectations
90,PhD,Mobile,5,"iOS, Android,  Flutter",Good,Medium,5,Low,80,Low,Good,No,Needs Improvement
91,PhD,Frontend,5,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Good,Medium,3,Good,55,Good,Good,No,Needs Improvement
92,Master's,.Net,3,"C#, .Net Core Framework, ADO.Net, Visual Basic .Net, LinQ, Entity Framework",Good,Low,5,Good,51,Good,Good,Yes,Meets Expectations
93,Master's,Database,4,"SSRS, MSSQL,MongoDB, Data Modelling, PowerBI, BigData",Good,Medium,5,Good,40,Good,Good,No,Meets Expectations
94,Master's,.Net,10,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework, MVC",Excellent,High,7,Good,90,Good,Good,Yes,Meets Expectations
95,Bachelor's,DevOps,7,"Jenkins, Git, Ansible, Security, Automation, Cloud management",Good,Medium,6,Good,51,Good,Excellent,Yes,Meets Expectations
96,Bachelor's,Frontend,5,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Excellent,High,9,Excellent,70,Excellent,Excellent,Yes,Exceeds Expectations
97,Bachelor's,.Net,3,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework",Good,High,5,Good,51,Good,Good,No,Needs Improvement
98,Bachelor's,Frontend,6,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Good,Medium,7,Good,72,Good,Excellent,Yes,Meets Expectations
99,Bachelor's,Mobile,1," Android, Flutter",Good,Low,5,Good,16,Good,Poor,No,Needs Improvement
100,Bachelor's,Frontend,0," HTML, CSS, Bootstrap, Java Script",Excellent,Low,9,Good,20,Good,Good,Yes,Exceeds Expectations
101,Bachelor's,.Net,7,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework",Good,Medium,8,Good,85,Good,Good,Yes,Meets Expectations
102,PhD,Database,2,"SSRS, MSSQL, MySQL, Data Modelling, PowerBI",Good,Low,5,Good,13,Poor,Poor,No,Needs Improvement
103,Master's,Database,4,"SSRS, MSSQL, MySQL, Oracle,  Data Modelling, PowerBI",Good,Low,5,Good,67,Poor,Good,No,Needs Improvement
104,Bachelor's,Mobile,2,"Android, Flutter",Good,Low,7,Good,60,Good,Good,No,Meets Expectations
105,Bachelor's,DevOps,0,"Jenkins, Git, Automation",Good,Low,5,Good,10,Poor,Poor,No,Needs Improvement
106,Bachelor's,.Net,1,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net",Excellent,Low,4,Good,26,Poor,Poor,No,Needs Improvement
107,PhD,DevOps,5,"Jenkins, Git, Ansible, Security, Automation, Cloud management",Excellent,High,9,Excellent,55,Excellent,Excellent,Yes,Exceeds Expectations
108,Bachelor's,Mobile,5,"iOS, Android, React Native, Flutter",Good,Medium,8,Good,90,Good,Excellent,Yes,Meets Expectations
109,PhD,Python & ML,0,Python,Good,Low,5,Good,26,Good,Excellent,Yes,Meets Expectations
110,PhD,Python & ML,5,"Python,ML models, DL models, TensorFlow, Pytorch, MSSQL,  Django, Flask",Good,Medium,1,Good,50,Good,Good,No,Needs Improvement
111,Master's,DevOps,10,"Jenkins, Git, Ansible, Security, Automation, Cloud management",Excellent,High,8,Excellent,82,Excellent,Good,No,Meets Expectations
112,Bachelor's,DevOps,0,"Jenkins, Git",Poor,Low,2,Poor,10,Poor,Poor,No,Needs Improvement
113,Bachelor's,Database,1,"SSRS, MSSQL, MySQL, Data Modelling",Excellent,Medium,7,Good,33,Good,Good,Yes,Exceeds Expectations
114,Bachelor's,DevOps,2,"Jenkins, Git, Security",Good,Low,4,Good,20,Poor,Good,Yes,Meets Expectations
115,Bachelor's,DevOps,3,"Jenkins, Git, Security, Automation",Good,Low,4,Good,20,Poor,Poor,No,Needs Improvement
116,PhD,.Net,7,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework",Good,Medium,9,Good,70,Excellent,Excellent,Yes,Meets Expectations
117,Bachelor's,.Net,0,"C#, .Net Core Framework, ASP.Net, Visual Basic .Net",Good,Low,5,Good,10,Good,Good,Yes,Meets Expectations
118,Bachelor's,Frontend,0,"HTML, CSS, Bootstrap",Poor,Low,3,Poor,5,Poor,Poor,No,Needs Improvement
119,PhD,Python & ML,9,"Python,ML models, DL models, TensorFlow, Pytorch, MSSQL, Postgresql, Django, Flask",Excellent,Medium,7,Good,80,Good,Good,No,Meets Expectations
120,Master's,Python & ML,6,"Python,ML models, DL models, TensorFlow, Pytorch, MSSQL, Postgresql, Django, Flask",Excellent,Medium,7,Excellent,80,Excellent,Excellent,Yes,Exceeds Expectations
121,Master's,Database,4,"SSRS, MSSQL, MySQL, Data Modelling, Data Warehouse",Good,Low,4,Good,85,Good,Good,No,Meets Expectations
122,Bachelor's,Python & ML,2,"Python,ML models, MSSQL, Flask",Good,Medium,4,Good,50,Poor,Good,No,Needs Improvement
123,Master's,Mobile,5,"iOS, Android, Flutter",Good,Medium,5,Good,67,Poor,Good,No,Meets Expectations
124,PhD,Python & ML,1,"Python, MSSQL, Flask",Good,Low,4,Good,5,Good,Poor,No,Needs Improvement
125,Master's,DevOps,8,"Jenkins, Git, Ansible, Security, Automation, Cloud management",Excellent,Medium,7,Good,85,Good,Good,Yes,Meets Expectations
126,Master's,.Net,6,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework, MVC",Excellent,High,10,Excellent,98,Excellent,Excellent,Yes,Exceeds Expectations
127,Bachelor's,.Net,4,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework",Excellent,Medium,9,Good,84,Good,Excellent,Yes,Exceeds Expectations
128,Master's,Mobile,8,"iOS, Android, React Native, Flutter",Excellent,Medium,5,Good,54,Good,Good,No,Meets Expectations
129,Master's,Python & ML,7,"Python,ML models, DL models, TensorFlow, Pytorch, MSSQL, Postgresql, Django, Flask",Excellent,High,9,Good,95,Good,Good,Yes,Meets Expectations
130,Bachelor's,Frontend,4,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Good,Medium,5,Good,63,Good,Good,No,Needs Improvement
131,Master's,.Net,3,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net",Good,Low,5,Good,41,Good,Good,No,Meets Expectations
132,Master's,Frontend,4,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Excellent,High,8,Excellent,85,Excellent,Excellent,Yes,Exceeds Expectations
133,Bachelor's,Database,10,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI, BigData, SSIS, Data Warehouse, Data Mining",Excellent,High,9,Excellent,95,Good,Good,No,Meets Expectations
134,Bachelor's,.Net,6,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework",Good,Medium,6,Good,50,Poor,Good,Yes,Meets Expectations
135,Bachelor's,Frontend,6,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Good,High,8,Good,75,Good,Good,No,Meets Expectations
136,PhD,Mobile,1,"iOS, Android",Poor,Low,4,Poor,21,Poor,Poor,No,Needs Improvement
137,PhD,Frontend,10,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Good,Medium,8,Good,95,Good,Good,Yes,Meets Expectations
138,Master's,Mobile,7,"iOS, Android, React Native, Flutter",Good,Medium,6,Excellent,43,Excellent,Excellent,No,Meets Expectations
139,Master's,.Net,4,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework, MVC",Good,High,3,Good,60,Good,Good,No,Needs Improvement
140,PhD,Mobile,4,"iOS, Android, Flutter",Good,High,5,Good,75,Poor,Good,No,Needs Improvement
141,Master's,Frontend,6,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Excellent,Medium,9,Good,63,Good,Good,No,Meets Expectations
142,Bachelor's,Mobile,2," Android, Flutter",Excellent,Medium,8,Good,20,Good,Good,Yes,Exceeds Expectations
143,Bachelor's,Frontend,7,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Excellent,High,7,Good,85,Good,Good,Yes,Meets Expectations
144,PhD,DevOps,4,"Jenkins, Git, Ansible, Security, Automation, Cloud management",Good,Medium,5,Good,80,Good,Good,No,Meets Expectations
145,Master's,Database,10,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI, BigData, SSIS, Data Warehouse, Data Mining",Excellent,Medium,8,Excellent,70,Excellent,Excellent,Yes,Exceeds Expectations
146,Bachelor's,.Net,4,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework",Good,Medium,3,Good,45,Good,Good,No,Needs Improvement
147,PhD,Python & ML,8,"Python,ML models, DL models, TensorFlow, Pytorch, MSSQL, Postgresql, Django, Flask",Excellent,High,8,Excellent,85,Excellent,Good,No,Meets Expectations
148,Master's,DevOps,5,"Jenkins, Git, Ansible, Security, Automation, Cloud management",Excellent,High,8,Excellent,75,Good,Good,Yes,Exceeds Expectations
149,Bachelor's,DevOps,1,"Jenkins, Git, Security",Good,Low,4,Good,24,Poor,Poor,No,Needs Improvement
150,Master's,Frontend,9,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Excellent,High,9,Excellent,91,Excellent,Excellent,No,Meets Expectations
151,PhD,.Net,7,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework, MVC",Excellent,High,9,Excellent,85,Excellent,Excellent,Yes,Exceeds Expectations
152,Bachelor's,Database,8,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI, BigData, SSIS, Data Warehouse, Data Mining",Good,High,7,Good,75,Good,Good,Yes,Meets Expectations
153,PhD,Frontend,2,"Angular JS, HTML, CSS, Bootstrap, Java Script",Excellent,Low,10,Good,89,Excellent,Excellent,Yes,Exceeds Expectations
154,Bachelor's,DevOps,7,"Jenkins, Git, Security, Automation, Cloud management",Excellent,Medium,7,Good,75,Good,Good,Yes,Meets Expectations
155,PhD,Python & ML,0,Python,Excellent,Low,7,Good,88,Good,Good,Yes,Exceeds Expectations
156,PhD,Mobile,3,"iOS, Android, Flutter",Good,Low,8,Good,55,Good,Good,Yes,Meets Expectations
157,Master's,Mobile,4,"iOS, Android, Flutter",Good,Low,4,Good,60,Good,Good,No,Needs Improvement
158,Master's,Database,5,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI, SSIS, Data Warehouse, Data Mining",Good,Medium,4,Good,45,Good,Good,No,Needs Improvement
159,Master's,Database,5,"SSRS, MSSQL, MySQL,  MongoDB, Data Modelling, PowerBI, Data Warehouse, Data Mining",Excellent,High,7,Excellent,89,Excellent,Excellent,Yes,Exceeds Expectations
160,Master's,Frontend,6,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Good,Medium,8,Good,69,Good,Good,Yes,Meets Expectations
161,Master's,Database,9,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI, BigData, SSIS, Data Warehouse, Data Mining",Excellent,High,1,Good,68,Excellent,Good,No,Meets Expectations
162,Master's,Python & ML,0,"Python,ML models",Good,Low,6,Good,52,Good,Good,No,Meets Expectations
163,Bachelor's,Python & ML,7,"Python,ML models, DL models, TensorFlow, Pytorch, MSSQL, Postgresql, Django, Flask",Excellent,High,7,Good,85,Excellent,Excellent,Yes,Exceeds Expectations
164,Bachelor's,Frontend,3," Node JS, HTML, CSS, Bootstrap, Java Script",Good,Medium,5,Good,55,Good,Good,No,Meets Expectations
165,PhD,Database,4,"SSRS, MSSQL, MySQL,Data Modelling,  Data Warehouse",Good,Medium,5,Good,45,Good,Good,No,Needs Improvement
166,PhD,DevOps,3,"Jenkins, Git, Security, Automation",Excellent,Medium,6,Good,50,Good,Good,Yes,Meets Expectations
167,PhD,Python & ML,2,"Python,ML models, MSSQL",Good,Low,5,Good,25,Good,Good,Yes,Meets Expectations
168,PhD,Mobile,0," Android, Flutter",Good,Low,4,Good,15,Poor,Poor,No,Needs Improvement
169,PhD,Python & ML,10,"Python,ML models, DL models, TensorFlow, Pytorch, MSSQL, Postgresql, Django, Flask",Excellent,High,9,Good,85,Good,Good,No,Meets Expectations
170,Master's,Frontend,5,"Angular JS, HTML, CSS, Bootstrap, Java Script",Good,Medium,6,Good,45,Good,Good,Yes,Meets Expectations
171,Master's,DevOps,7,"Jenkins, Git, Ansible, Security, Automation, Cloud management",Excellent,High,9,Excellent,98,Excellent,Excellent,Yes,Exceeds Expectations
172,Master's,DevOps,10,"Jenkins, Git, Ansible, Security, Automation, Cloud management",Excellent,High,9,Good,99,Good,Good,No,Meets Expectations
173,Master's,Frontend,5,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Excellent,High,5,Excellent,76,Excellent,Good,No,Meets Expectations
174,Master's,Database,0,"SSRS, MSSQL, Data Modelling",Good,Low,5,Good,25,Good,Good,Yes,Meets Expectations
175,Bachelor's,Mobile,3,"iOS, Android, Flutter",Poor,Low,3,Poor,25,Poor,Poor,No,Needs Improvement
176,Master's,Database,2,"SSRS, MSSQL,Data Modelling, Data Warehouse",Excellent,Medium,9,Excellent,93,Excellent,Good,Yes,Exceeds Expectations
177,Bachelor's,Frontend,6,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Good,Medium,8,Good,64,Good,Excellent,Yes,Meets Expectations
178,PhD,Python & ML,5,"Python,ML models, DL models, TensorFlow, Pytorch, MSSQL, Django, Flask",Good,Medium,6,Excellent,29,Excellent,Good,No,Meets Expectations
179,Bachelor's,Frontend,9,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Excellent,High,10,Excellent,100,Excellent,Excellent,Yes,Exceeds Expectations
180,Bachelor's,Mobile,6,"iOS, Android, React Native, Flutter",Excellent,Medium,8,Good,77,Good,Good,No,Meets Expectations
181,Master's,Mobile,4," Android, React Native, Flutter",Good,High,9,Good,76,Good,Good,No,Meets Expectations
182,Bachelor's,Frontend,8,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Good,Medium,6,Good,90,Good,Excellent,No,Meets Expectations
183,Master's,DevOps,3,"Jenkins, Git, Automation, Cloud management",Excellent,Medium,7,Excellent,88,Excellent,Good,Yes,Exceeds Expectations
184,Bachelor's,Python & ML,5,"Python,ML models, DL models, TensorFlow, MSSQL, Flask",Excellent,High,9,Excellent,81,Excellent,Good,Yes,Exceeds Expectations
